iter	Accuracy	MultiClass
0	0.5983935743	1.360047842
1	0.59437751	1.344171038
2	0.6506024096	1.323257421
3	0.6947791165	1.303331544
4	0.7068273092	1.287949708
5	0.702811245	1.2715172
6	0.7751004016	1.248867053
7	0.8032128514	1.233195343
8	0.7991967871	1.21558493
9	0.8072289157	1.201310996
10	0.8313253012	1.188810922
11	0.8353413655	1.176313206
12	0.8514056225	1.161746234
13	0.859437751	1.151191248
14	0.859437751	1.134026862
15	0.8634538153	1.120207431
16	0.875502008	1.109771108
17	0.8714859438	1.097224508
18	0.875502008	1.087557259
19	0.875502008	1.078881058
20	0.8875502008	1.07036315
21	0.8915662651	1.055075448
22	0.8995983936	1.042686434
23	0.9076305221	1.032344713
24	0.8995983936	1.025499288
25	0.9076305221	1.013459356
26	0.9116465863	1.003162601
27	0.9116465863	0.9953271255
28	0.9156626506	0.9855073046
29	0.9277108434	0.9750744988
30	0.9397590361	0.9641864156
31	0.9397590361	0.954536888
32	0.9317269076	0.9458862683
33	0.9317269076	0.936084709
34	0.9397590361	0.9292572581
35	0.9437751004	0.9198574888
36	0.9397590361	0.914186696
37	0.9397590361	0.9079487322
38	0.9437751004	0.9015851424
39	0.9437751004	0.8901655573
40	0.9437751004	0.8829861737
41	0.9397590361	0.8764465042
42	0.9437751004	0.8703439947
43	0.9437751004	0.8644554837
44	0.9518072289	0.8554956167
45	0.9518072289	0.8479064732
46	0.9518072289	0.8403219718
47	0.9518072289	0.8307726802
48	0.9518072289	0.8248765883
49	0.9518072289	0.8199457009
50	0.9518072289	0.8124946835
51	0.9558232932	0.8059619062
52	0.9558232932	0.8020590828
53	0.9598393574	0.7926171865
54	0.9558232932	0.7883539809
55	0.9598393574	0.783202655
56	0.9598393574	0.7790587264
57	0.9558232932	0.7744842174
58	0.9558232932	0.7678897971
59	0.9558232932	0.7627256764
60	0.9558232932	0.7582512036
61	0.9558232932	0.7524785069
62	0.9558232932	0.7465991443
63	0.9598393574	0.7407428327
64	0.9598393574	0.7355623231
65	0.9638554217	0.7305815956
66	0.9638554217	0.7257692234
67	0.9638554217	0.7218066892
68	0.9678714859	0.7169438234
69	0.9678714859	0.7114853488
70	0.9678714859	0.7080935366
71	0.9678714859	0.7046534603
72	0.9678714859	0.7007134278
73	0.9718875502	0.6951289368
74	0.9718875502	0.6904271664
75	0.9718875502	0.6850449542
76	0.9718875502	0.6821328114
77	0.9718875502	0.6765714716
78	0.9718875502	0.673365251
79	0.9718875502	0.6684176611
80	0.9718875502	0.6635413279
81	0.9718875502	0.6606785965
82	0.9718875502	0.6566971563
83	0.9759036145	0.6519463675
84	0.9759036145	0.6471982842
85	0.9759036145	0.6413927186
86	0.9759036145	0.6368380101
87	0.9759036145	0.6333601114
88	0.9759036145	0.6292590789
89	0.9759036145	0.6257560674
90	0.9759036145	0.6231885128
91	0.9759036145	0.6207829132
92	0.9759036145	0.6187637498
93	0.9759036145	0.6144702776
94	0.9759036145	0.6106704578
95	0.9759036145	0.6087133143
96	0.9759036145	0.6046014908
97	0.9759036145	0.6004709788
98	0.9759036145	0.5973090205
99	0.9759036145	0.5930991069
100	0.9759036145	0.5886581235
101	0.9759036145	0.5865288345
102	0.9759036145	0.5827869899
103	0.9759036145	0.5776413466
104	0.9759036145	0.5741771058
105	0.9759036145	0.5711037822
106	0.9759036145	0.5671112947
107	0.9759036145	0.5634830494
108	0.9759036145	0.5601848934
109	0.9759036145	0.5554390017
110	0.9759036145	0.5524371865
111	0.9759036145	0.5493747953
112	0.9759036145	0.5460984785
113	0.9759036145	0.5415345139
114	0.9759036145	0.5374733125
115	0.9759036145	0.5341236599
116	0.9759036145	0.5324423676
117	0.9759036145	0.5307642199
118	0.9759036145	0.5274152018
119	0.9759036145	0.5234816856
120	0.9759036145	0.5182398192
121	0.9759036145	0.5130385818
122	0.9759036145	0.5102822185
123	0.9759036145	0.5069263465
124	0.9759036145	0.5049428085
125	0.9759036145	0.500545012
126	0.9759036145	0.4966849334
127	0.9759036145	0.4922930561
128	0.9759036145	0.4882212593
129	0.9759036145	0.4845127627
130	0.9759036145	0.4810804839
131	0.9759036145	0.4784117152
132	0.9759036145	0.475344958
133	0.9759036145	0.4712693491
134	0.9759036145	0.4685247577
135	0.9759036145	0.4640026797
136	0.9759036145	0.4609668212
137	0.9759036145	0.4571836598
138	0.9759036145	0.454416798
139	0.9759036145	0.4510605451
140	0.9759036145	0.4480766972
141	0.9759036145	0.4459943593
142	0.9759036145	0.4422015238
143	0.9799196787	0.4388787959
144	0.9799196787	0.434872129
145	0.9799196787	0.4332845661
146	0.9799196787	0.4302399904
147	0.9799196787	0.4267526319
148	0.9799196787	0.42500153
149	0.9799196787	0.422181457
150	0.9799196787	0.4198581304
151	0.9799196787	0.4163507031
152	0.9799196787	0.4130469176
153	0.9799196787	0.4112839915
154	0.9799196787	0.4085886833
155	0.983935743	0.4059672789
156	0.983935743	0.402874551
157	0.983935743	0.3999417675
158	0.983935743	0.396077189
159	0.983935743	0.3926059331
160	0.983935743	0.389075561
161	0.983935743	0.3872368522
162	0.983935743	0.3841789366
163	0.983935743	0.3811369096
164	0.983935743	0.3780602018
165	0.983935743	0.37559264
166	0.983935743	0.3725186865
167	0.983935743	0.3711365159
168	0.983935743	0.3689625423
169	0.983935743	0.3664374559
170	0.983935743	0.3636636272
171	0.983935743	0.360121269
172	0.983935743	0.3576530691
173	0.983935743	0.3544022522
174	0.983935743	0.3528063518
175	0.983935743	0.351045629
176	0.983935743	0.3483276637
177	0.983935743	0.3451192264
178	0.983935743	0.3424224324
179	0.983935743	0.3405360145
180	0.983935743	0.3378969646
181	0.983935743	0.33520819
182	0.983935743	0.33234825
183	0.983935743	0.330725982
184	0.983935743	0.3288023506
