iter	Passed	Remaining
0	168	252176
1	317	237669
2	464	231977
3	607	227101
4	748	223819
5	891	221942
6	1037	221298
7	1180	220074
8	1323	219210
9	1465	218421
10	1607	217582
11	1749	216945
12	1893	216547
13	2035	216087
14	2179	215781
15	2322	215389
16	2465	215067
17	2608	214777
18	2751	214456
19	2893	214086
20	3036	213846
21	3180	213667
22	3325	213533
23	3467	213279
24	3610	213012
25	3753	212797
26	3896	212563
27	4042	212502
28	4185	212290
29	4327	212051
30	4471	211912
31	4613	211659
32	4757	211481
33	4909	211683
34	5060	211830
35	5213	212009
36	5361	211989
37	5512	212099
38	5662	212114
39	5810	212091
40	5960	212109
41	6110	212125
42	6260	212131
43	6406	212007
44	6558	212056
45	6710	212108
46	6860	212085
47	7010	212072
48	7160	212026
49	7312	212058
50	7463	212037
51	7617	212111
52	7769	212117
53	7918	212039
54	8069	212018
55	8222	212032
56	8371	211931
57	8520	211842
58	8671	211781
59	8821	211722
60	8971	211633
61	9121	211548
62	9272	211497
63	9420	211371
64	9573	211360
65	9730	211417
66	9881	211339
67	10033	211300
68	10187	211276
69	10339	211222
70	10491	211162
71	10643	211093
72	10796	211057
73	10950	211025
74	11096	210829
75	11240	210602
76	11383	210373
77	11526	210130
78	11669	209900
79	11812	209663
80	11954	209423
81	12097	209201
82	12241	208995
83	12384	208773
84	12527	208547
85	12670	208319
86	12812	208096
87	12954	207867
88	13101	207703
89	13245	207513
90	13388	207295
91	13530	207075
92	13673	206861
93	13816	206662
94	13960	206467
95	14103	206261
96	14249	206100
97	14391	205885
98	14534	205689
99	14679	205506
100	14822	205317
101	14964	205101
102	15111	204959
103	15256	204793
104	15398	204584
105	15540	204376
106	15683	204182
107	15826	203983
108	15968	203780
109	16113	203620
110	16257	203438
111	16400	203243
112	16542	203048
113	16686	202868
114	16829	202683
115	16971	202487
116	17113	202290
117	17256	202104
118	17399	201919
119	17541	201729
120	17684	201549
121	17830	201394
122	17984	201340
123	18126	201144
124	18271	200990
125	18415	200818
126	18558	200639
127	18702	200465
128	18846	200295
129	18988	200113
130	19133	199952
131	19278	199794
132	19422	199624
133	19565	199455
134	19707	199268
135	19852	199106
136	19994	198924
137	20137	198750
138	20281	198580
139	20424	198409
140	20567	198231
141	20708	198047
142	20859	197944
143	21010	197846
144	21162	197760
145	21312	197655
146	21463	197556
147	21611	197427
148	21761	197311
149	21909	197188
150	22057	197060
151	22207	196949
152	22355	196820
153	22509	196741
154	22662	196651
155	22811	196531
156	22961	196417
157	23111	196300
158	23262	196191
159	23409	196056
160	23559	195937
161	23709	195820
162	23861	195726
163	24020	195681
164	24179	195635
165	24334	195558
166	24489	195476
167	24639	195358
168	24790	195243
169	24939	195117
170	25089	194991
171	25242	194894
172	25396	194804
173	25547	194689
174	25697	194568
175	25845	194431
176	25993	194293
177	26144	194171
178	26294	194048
179	26443	193919
180	26597	193821
181	26749	193712
182	26916	193708
183	27057	193522
184	27202	193356
185	27347	193197
186	27489	193014
187	27630	192827
188	27774	192658
189	27916	192475
190	28058	192298
191	28205	192148
192	28351	191996
193	28495	191827
194	28638	191656
195	28781	191486
196	28924	191312
197	29067	191140
198	29210	190969
199	29352	190792
200	29495	190620
201	29636	190439
202	29781	190281
203	29925	190113
204	30067	189939
205	30211	189776
206	30354	189603
207	30496	189429
208	30638	189256
209	30782	189090
210	30924	188915
211	31066	188743
212	31211	188588
213	31354	188419
214	31497	188253
215	31639	188079
216	31781	187903
217	31924	187736
218	32067	187571
219	32210	187409
220	32424	187652
221	32582	187569
222	32726	187408
223	32890	187360
224	33046	187262
225	33205	187184
226	33355	187053
227	33508	186943
228	33654	186788
229	33800	186639
230	33945	186480
231	34088	186312
232	34240	186192
233	34423	186238
234	34577	186127
235	34725	185985
236	34881	185888
237	35043	185816
238	35192	185681
239	35348	185581
240	35523	185579
241	35671	185432
242	35814	185263
243	35960	185106
244	36105	184950
245	36249	184783
246	36394	184623
247	36538	184458
248	36680	184288
249	36839	184199
250	36991	184074
251	37143	183949
252	37299	183844
253	37451	183719
254	37604	183597
255	37758	183483
256	37907	183344
257	38056	183201
258	38204	183056
259	38356	182931
260	38508	182806
261	38660	182679
262	38814	182561
263	38962	182415
264	39109	182264
265	39258	182126
266	39410	181998
267	39567	181890
268	39712	181732
269	39864	181606
270	40015	181472
271	40167	181346
272	40326	181245
273	40480	181127
274	40631	180995
275	40779	180848
276	40930	180713
277	41078	180568
278	41231	180443
279	41387	180329
280	41533	180175
281	41689	180063
282	41844	179945
283	41997	179821
284	42148	179686
285	42300	179556
286	42464	179473
287	42622	179369
288	42776	179245
289	42929	179121
290	43087	179011
291	43236	178869
292	43380	178705
293	43523	178536
294	43666	178365
295	43821	178247
296	43985	178163
297	44129	177997
298	44274	177837
299	44417	177671
300	44560	177502
301	44703	177335
302	44853	177193
303	45000	177039
304	45141	176867
305	45285	176700
306	45430	176540
307	45573	176377
308	45717	176211
309	45864	176060
310	46012	175913
311	46154	175742
312	46300	175587
313	46442	175417
314	46585	175251
315	46728	175084
316	46873	174924
317	47015	174756
318	47158	174588
319	47301	174422
320	47442	174253
321	47584	174082
322	47728	173920
323	47872	173758
324	48014	173591
325	48157	173424
326	48300	173262
327	48444	173099
328	48586	172931
329	48728	172764
330	48871	172601
331	49014	172436
332	49155	172265
333	49300	172110
334	49445	171951
335	49588	171790
336	49731	171625
337	49875	171466
338	50017	171298
339	50160	171134
340	50308	170990
341	50476	170911
342	50636	170805
343	50793	170689
344	50941	170543
345	51094	170414
346	51244	170274
347	51394	170132
348	51568	170073
349	51742	170011
350	51887	169855
351	52037	169712
352	52203	169625
353	52364	169519
354	52515	169380
355	52667	169246
356	52818	169109
357	52971	168976
358	53145	168910
359	53312	168821
360	53475	168721
361	53624	168576
362	53778	168445
363	53944	168354
364	54097	168221
365	54255	168104
366	54410	167974
367	54576	167880
368	54731	167753
369	54893	167649
370	55044	167506
371	55195	167367
372	55354	167249
373	55504	167108
374	55652	166958
375	55805	166821
376	55959	166690
377	56108	166545
378	56260	166406
379	56410	166262
380	56560	166119
381	56713	165984
382	56870	165859
383	57022	165720
384	57170	165572
385	57321	165431
386	57470	165283
387	57622	165145
388	57776	165011
389	57929	164875
390	58081	164737
391	58235	164603
392	58386	164462
393	58537	164319
394	58690	164183
395	58841	164044
396	58995	163910
397	59140	163750
398	59286	163594
399	59431	163436
400	59592	163322
401	59748	163194
402	59911	163084
403	60065	162951
404	60217	162810
405	60374	162684
406	60532	162560
407	60686	162425
408	60833	162272
409	60979	162116
410	61130	161973
411	61277	161819
412	61420	161655
413	61563	161492
414	61705	161325
415	61849	161164
416	61991	161000
417	62134	160836
418	62285	160692
419	62434	160546
420	62577	160382
421	62720	160220
422	62869	160071
423	63035	159966
424	63192	159839
425	63335	159676
426	63484	159530
427	63630	159372
428	63774	159214
429	63918	159054
430	64063	158896
431	64206	158732
432	64358	158593
433	64504	158438
434	64649	158278
435	64800	158136
436	64945	157978
437	65089	157818
438	65238	157673
439	65381	157509
440	65529	157358
441	65695	157253
442	65840	157095
443	66005	156984
444	66162	156856
445	66305	156694
446	66451	156539
447	66607	156407
448	66752	156251
449	66919	156144
450	67066	155993
451	67223	155862
452	67372	155714
453	67529	155584
454	67675	155431
455	67823	155279
456	67969	155124
457	68123	154988
458	68267	154829
459	68410	154667
460	68554	154508
461	68699	154351
462	68852	154212
463	69005	154072
464	69157	153930
465	69312	153795
466	69463	153653
467	69612	153505
468	69762	153358
469	69915	153218
470	70066	153075
471	70216	152930
472	70375	152802
473	70528	152663
474	70685	152531
475	70835	152386
476	70986	152240
477	71140	152104
478	71291	151960
479	71441	151813
480	71589	151661
481	71742	151522
482	71901	151395
483	72055	151257
484	72207	151115
485	72361	150975
486	72511	150829
487	72663	150687
488	72812	150537
489	72962	150391
490	73112	150244
491	73263	150101
492	73423	149975
493	73576	149834
494	73726	149687
495	73876	149540
496	74024	149388
497	74177	149248
498	74327	149102
499	74482	148964
500	74633	148820
501	74788	148684
502	74942	148544
503	75086	148385
504	75235	148235
505	75382	148083
506	75526	147924
507	75668	147763
508	75812	147604
509	75956	147445
510	76099	147284
511	76242	147124
512	76388	146970
513	76532	146811
514	76675	146651
515	76819	146493
516	76964	146337
517	77107	146176
518	77250	146016
519	77394	145858
520	77537	145699
521	77682	145543
522	77830	145393
523	77985	145255
524	78128	145095
525	78274	144941
526	78417	144782
527	78561	144623
528	78705	144467
529	78849	144309
530	78992	144150
531	79135	143990
532	79279	143833
533	79427	143682
534	79569	143522
535	79712	143363
536	79855	143205
537	79999	143046
538	80141	142887
539	80302	142760
540	80455	142619
541	80598	142459
542	80740	142300
543	80883	142140
544	81026	141982
545	81170	141825
546	81314	141667
547	81456	141508
548	81599	141349
549	81742	141190
550	81884	141032
551	82053	140918
552	82204	140772
553	82350	140619
554	82497	140468
555	82640	140311
556	82783	140152
557	82927	139995
558	83071	139839
559	83215	139683
560	83362	139531
561	83505	139373
562	83649	139218
563	83794	139062
564	83939	138908
565	84082	138751
566	84225	138592
567	84369	138436
568	84513	138281
569	84657	138124
570	84808	137980
571	84957	137833
572	85111	137693
573	85261	137547
574	85415	137407
575	85565	137261
576	85716	137116
577	85869	136975
578	86020	136831
579	86172	136687
580	86322	136541
581	86476	136400
582	86629	136259
583	86783	136120
584	86936	135976
585	87085	135829
586	87237	135686
587	87386	135537
588	87536	135391
589	87685	135243
590	87838	135101
591	87991	134960
592	88164	134848
593	88314	134702
594	88466	134557
595	88622	134420
596	88773	134276
597	88924	134130
598	89076	133986
599	89227	133841
600	89379	133697
601	89535	133560
602	89693	133424
603	89843	133278
604	89993	133130
605	90164	133015
606	90315	132869
