iter	Accuracy	MultiClass
0	0.5675675676	1.369799426
1	0.5735735736	1.355832444
2	0.6666666667	1.34031255
3	0.7087087087	1.325551444
4	0.7147147147	1.314097957
5	0.7117117117	1.299965679
6	0.7177177177	1.292126784
7	0.7357357357	1.281877366
8	0.7507507508	1.27344022
9	0.7597597598	1.264264417
10	0.7807807808	1.25450467
11	0.7717717718	1.245229652
12	0.7747747748	1.236244226
13	0.7837837838	1.225822714
14	0.7897897898	1.214324023
15	0.7867867868	1.206335889
16	0.7897897898	1.198801031
17	0.7927927928	1.189723568
18	0.7987987988	1.183294896
19	0.8078078078	1.173570287
20	0.8108108108	1.165208711
21	0.7987987988	1.156293962
22	0.7987987988	1.146420148
23	0.8078078078	1.140611644
24	0.8138138138	1.133374915
25	0.8168168168	1.124445276
26	0.8168168168	1.11593972
27	0.8168168168	1.107855443
28	0.8258258258	1.098879871
29	0.8288288288	1.091467499
30	0.8318318318	1.084735349
31	0.8288288288	1.078064094
32	0.8258258258	1.072117439
33	0.8258258258	1.064630518
34	0.8318318318	1.059264294
35	0.8378378378	1.051943994
36	0.8438438438	1.045444723
37	0.8468468468	1.039877407
38	0.8498498498	1.034607349
39	0.8498498498	1.029008666
40	0.8558558559	1.022736937
41	0.8528528529	1.017863459
42	0.8558558559	1.01339908
43	0.8558558559	1.0077092
44	0.8528528529	1.003634656
45	0.8498498498	0.9987780926
46	0.8468468468	0.9918013896
47	0.8528528529	0.9882066729
48	0.8558558559	0.9834149559
49	0.8588588589	0.9787029727
50	0.8588588589	0.9756150732
51	0.8648648649	0.9694306846
52	0.8618618619	0.964045028
53	0.8678678679	0.959824744
54	0.8678678679	0.9551027646
55	0.8738738739	0.9492909518
56	0.8738738739	0.9443013844
57	0.8708708709	0.9396361533
58	0.8708708709	0.9362779371
59	0.8708708709	0.9332469771
60	0.8678678679	0.9285612779
61	0.8708708709	0.9244108195
62	0.8828828829	0.9213249019
63	0.8768768769	0.917761671
64	0.8798798799	0.9133417814
65	0.8828828829	0.9082530842
66	0.8738738739	0.9035765843
67	0.8798798799	0.9002688263
68	0.8828828829	0.8957658174
69	0.8798798799	0.8914912682
70	0.8768768769	0.8851981245
71	0.8738738739	0.8804553287
72	0.8858858859	0.8761360928
73	0.8828828829	0.8722912484
74	0.8858858859	0.8698565237
75	0.8858858859	0.8646303458
76	0.8948948949	0.8610882334
77	0.8978978979	0.8575735437
78	0.8978978979	0.8530014364
79	0.8978978979	0.8499438597
80	0.8978978979	0.8456536123
81	0.9009009009	0.8407435833
82	0.9009009009	0.8359232422
83	0.9069069069	0.8314543332
84	0.9039039039	0.8285195377
85	0.9039039039	0.8252169482
86	0.9039039039	0.8224998374
87	0.9009009009	0.8196806556
88	0.9009009009	0.8174879936
89	0.9009009009	0.8159249039
90	0.8978978979	0.8128023041
91	0.9009009009	0.8077620267
92	0.9009009009	0.8048803092
93	0.8978978979	0.8017756798
94	0.9009009009	0.798228631
95	0.9009009009	0.7941680987
96	0.8978978979	0.7915116378
97	0.9039039039	0.7895262623
98	0.9069069069	0.7872419524
99	0.9069069069	0.7843300047
100	0.9129129129	0.7816157644
101	0.9129129129	0.77944593
102	0.9159159159	0.7770495472
103	0.9159159159	0.7727322725
104	0.9159159159	0.7703144084
105	0.9159159159	0.7676799179
106	0.9219219219	0.765011095
107	0.9249249249	0.7615594814
108	0.9189189189	0.7569763462
109	0.9219219219	0.7549251151
110	0.9219219219	0.7527464339
111	0.9219219219	0.748737606
112	0.9279279279	0.7454193776
113	0.9309309309	0.7424773031
114	0.9309309309	0.7390872425
115	0.9309309309	0.7374571873
116	0.9309309309	0.7344991563
117	0.9309309309	0.7317312153
118	0.9279279279	0.7296810478
119	0.9309309309	0.7269133316
120	0.9309309309	0.7246234676
121	0.9309309309	0.7222111095
122	0.9309309309	0.7201922086
123	0.9309309309	0.7180633687
124	0.9309309309	0.7152951982
125	0.9309309309	0.7111681055
126	0.9309309309	0.7080059112
127	0.9309309309	0.7038798052
128	0.9309309309	0.7003235811
129	0.9309309309	0.6982169993
130	0.9339339339	0.6954459187
131	0.9339339339	0.692290923
132	0.9369369369	0.6885200266
133	0.9339339339	0.6859762174
