iter	Passed	Remaining
0	186	70182
1	359	67444
2	532	66394
3	709	66138
4	883	65758
5	1059	65491
6	1233	65188
7	1406	64878
8	1580	64604
9	1753	64353
10	1930	64229
11	2103	63985
12	2278	63798
13	2452	63586
14	2626	63380
15	2799	63153
16	2971	62932
17	3146	62760
18	3324	62643
19	3517	62785
20	3702	62758
21	3895	62864
22	4081	62818
23	4273	62853
24	4447	62622
25	4631	62519
26	4839	62739
27	5015	62520
28	5190	62285
29	5372	62143
30	5555	62003
31	5730	61785
32	5908	61594
33	6085	61396
34	6264	61210
35	6442	61024
36	6619	60830
37	6796	60629
38	6975	60450
39	7154	60275
40	7335	60112
41	7512	59919
42	7689	59727
43	7866	59535
44	8045	59357
45	8222	59169
46	8400	58984
47	8578	58797
48	8757	58618
49	8933	58427
50	9112	58248
51	9292	58078
52	9470	57892
53	9646	57699
54	9823	57511
55	10003	57343
56	10181	57158
57	10358	56972
58	10539	56805
59	10716	56617
60	10902	56478
61	11086	56324
62	11264	56143
63	11441	55957
64	11621	55782
65	11809	55649
66	12001	55531
67	12182	55359
68	12359	55170
69	12538	54989
70	12720	54825
71	12900	54649
72	13080	54472
73	13266	54320
74	13450	54160
75	13638	54015
76	13827	53875
77	14018	53738
78	14205	53586
79	14390	53424
80	14583	53293
81	14775	53154
82	14964	53007
83	15160	52879
84	15366	52788
85	15573	52695
86	15756	52522
87	15940	52348
88	16126	52183
89	16310	52011
90	16498	51851
91	16683	51682
92	16869	51514
93	17055	51347
94	17240	51176
95	17428	51016
96	17619	50860
97	17802	50682
98	17986	50508
99	18202	50421
100	18410	50308
101	18597	50139
102	18806	50027
103	19007	49894
104	19197	49731
105	19387	49566
106	19573	49391
107	19765	49231
108	19951	49055
109	20143	48892
110	20334	48729
111	20523	48560
112	20706	48377
113	20885	48182
114	21066	47996
115	21248	47809
116	21428	47617
117	21608	47428
118	21793	47250
119	21973	47058
120	22153	46870
121	22335	46685
122	22515	46494
123	22692	46299
124	22869	46104
125	23051	45919
126	23229	45727
127	23409	45538
128	23586	45345
129	23764	45152
130	23941	44959
131	24120	44768
132	24301	44582
133	24479	44391
134	24657	44200
135	24834	44008
136	25012	43817
137	25191	43628
138	25369	43439
139	25547	43247
140	25724	43056
141	25915	42888
142	26094	42699
143	26273	42512
144	26450	42320
145	26628	42131
146	26806	41941
147	26985	41754
148	27163	41566
149	27340	41374
150	27518	41187
151	27698	41000
152	27876	40812
153	28054	40624
154	28231	40435
155	28411	40249
156	28589	40061
157	28768	39874
158	28949	39691
159	29129	39506
160	29313	39326
161	29499	39150
162	29685	38973
163	29870	38795
164	30055	38616
165	30240	38437
166	30426	38260
167	30612	38083
168	30797	37904
169	30982	37725
170	31173	37553
171	31360	37377
172	31548	37201
173	31733	37021
174	31916	36840
175	32107	36667
176	32296	36492
177	32484	36316
178	32671	36139
179	32857	35961
180	33047	35786
181	33235	35609
182	33421	35430
183	33607	35251
184	33793	35072
185	33980	34893
186	34165	34713
187	34349	34532
188	34536	34354
189	34725	34177
190	34920	34006
191	35107	33827
192	35299	33653
193	35483	33471
194	35674	33295
195	35863	33119
196	36055	32944
197	36237	32760
198	36414	32571
199	36594	32386
200	36773	32199
201	36951	32012
202	37130	31826
203	37308	31639
204	37488	31453
205	37665	31266
206	37842	31078
